"","strata.1","strata.2","label","n.1","n.2","CHIsq","CHIsq_p.val","Fst","Fst_p.val","PHIst","PHIst_p.val","dA","mean"
"1","Atl-normal","Atl-South","Atl-normal (2) v. Atl-South (7)",2,7,9,0.171,0.361635220125786,0.171,0.763762094078278,0.03,0.000616353764436028,0.000796808761843761
"2","Atl-normal","Atl-weird","Atl-normal (2) v. Atl-weird (10)",2,10,12,0.084,0.132231404958677,0.229,0.977462763134966,0.017,0.00310638322820284,0.00334875219901868
"3","Atl-normal","CNP","Atl-normal (2) v. CNP (25)",2,25,27,0.109,0.0348551474392137,0.348,0.40319356898389,0.019,0.000555847799073536,0.000945670907527406
"4","Atl-normal","Epac","Atl-normal (2) v. Epac (19)",2,19,21,0.024,0.0746891056668404,0.289,0.724836347317076,0.006,0.000688643269220908,0.000942499970845771
"5","Atl-normal","IO","Atl-normal (2) v. IO (8)",2,8,10,0.638,0.0255402750491161,0.638,0.712659334311645,0.021,0.000484274988265649,0.000700998194062818
"6","Atl-normal","MHI","Atl-normal (2) v. MHI (51)",2,51,53,0.017,0.324680182539089,0.048,0.792797608191716,0.001,0.000663152631349758,0.000821227725587577
"7","Atl-normal","NWHI","Atl-normal (2) v. NWHI (9)",2,9,11,0.083,0.321507760532151,0.2,0.722967479310981,0.026,0.000648922716567041,0.000832096529165509
"8","Atl-normal","Spac","Atl-normal (2) v. Spac (7)",2,7,9,0.328,0.102831594634873,0.512,0.443132437060735,0.051,0.000551831239574998,0.000911435342529606
"9","Atl-normal","Unknown","Atl-normal (2) v. Unknown (5)",2,5,7,0.144,0,1,-0.128021446950708,0.335,0.000406875390135239,0.00127741250434354
"10","Atl-normal","Wpac","Atl-normal (2) v. Wpac (6)",2,6,8,0.27,0.0943396226415096,0.27,0.741529032839327,0.029,0.000589757464058403,0.000842376397555619
"11","Atl-South","Atl-weird","Atl-South (7) v. Atl-weird (10)",7,10,17,0.001,0.312958825406958,0.001,0.977529924811323,0.001,0.00292100071731436,0.00328223793429968
"12","Atl-South","CNP","Atl-South (7) v. CNP (25)",7,25,32,0.004,0.215728532542911,0.001,0.227120659593028,0.015,0.00026408507166852,0.000772776426291869
