P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Gmac_z0112653	Gmac_z0112731	Gmac_z0017981	0.00402549	0.544945	0.585791	0.00331977	837009	633013	627937
Gmac_z0112653	Gmac_z0017981	Pcra_z0018462	0.142744	25.8807	2.3e-16	0.0180883	3.37325e+06	328638	246536
Gmac_z0112653	Gmac_z0017981	Pcra_z0027510	0.140633	23.0789	2.3e-16	0.0174165	3.38237e+06	318693	240108
Gmac_z0112653	Gmac_z0017981	Pcra_z0045928	0.136515	21.1644	2.3e-16	0.0165892	3.39017e+06	310333	235780
Gmac_z0112731	Gmac_z0017981	Pcra_z0018462	0.0861549	14.1847	2.3e-16	0.010463	3.34618e+06	297007	249889
Gmac_z0112731	Gmac_z0017981	Pcra_z0027510	0.0843751	13.4871	2.3e-16	0.0100258	3.35537e+06	288474	243582
Gmac_z0112731	Gmac_z0017981	Pcra_z0045928	0.0799976	12.4915	2.3e-16	0.00932618	3.36349e+06	280803	239204
Pcra_z0027510	Pcra_z0018462	Gmac_z0017981	0.0559721	11.482	2.3e-16	0.00445521	3.86764e+06	193203	172722
Pcra_z0045928	Pcra_z0018462	Gmac_z0017981	0.102763	17.125	2.3e-16	0.00809608	3.86369e+06	200197	162886
Pcra_z0045928	Pcra_z0027510	Gmac_z0017981	0.0445165	8.03657	9.23849e-16	0.00368595	3.82121e+06	198778	181834
Gmac_z0112653	Gmac_z0112731	Pcra_z0018462	0.0630982	13.4111	2.3e-16	0.00766935	3.59641e+06	293709	258844
Gmac_z0112653	Gmac_z0112731	Pcra_z0027510	0.0626807	14.7506	2.3e-16	0.00744784	3.60393e+06	285261	251610
Gmac_z0112653	Gmac_z0112731	Pcra_z0045928	0.0626513	17.1586	2.3e-16	0.00730729	3.61049e+06	278876	245992
Pcra_z0027510	Pcra_z0018462	Gmac_z0112653	0.0538815	11.6086	2.3e-16	0.00438479	3.94689e+06	190088	170651
Pcra_z0045928	Pcra_z0018462	Gmac_z0112653	0.0932579	16.2761	2.3e-16	0.00750619	3.94027e+06	195430	162089
Pcra_z0045928	Pcra_z0027510	Gmac_z0112653	0.0373983	7.49604	6.57753e-14	0.0031582	3.8948e+06	194057	180065
Pcra_z0027510	Pcra_z0018462	Gmac_z0112731	0.0539301	12.0073	2.3e-16	0.00432828	3.91272e+06	190847	171316
Pcra_z0045928	Pcra_z0018462	Gmac_z0112731	0.0941408	15.5971	2.3e-16	0.00748466	3.90683e+06	196690	162843
Pcra_z0045928	Pcra_z0027510	Gmac_z0112731	0.0385274	7.3446	2.06381e-13	0.00321468	3.86257e+06	195403	180905
Pcra_z0045928	Pcra_z0018462	Pcra_z0027510	0.0608338	10.4704	2.3e-16	0.0748766	492187	498290	441140
