AnimalID,LabID,Location,Sex,Haplotype,cov.mean,
7449,7449,Atlantic,F,24,,l
7636,7636,Korean market,U,,188.7748292,l
18454,18454,Mex,M,10,194.5977916,l
79763,79763,AmSamoa,M,17,196.0209858,l
79904,79904,CNPLongLine,F,9,196.4104441,l
102229,102432,NWHI,F,31,195.6944851,l
108131,108131,HIK,F,1,186.3175939,l
114825,114825,Falklands,F,,196.0666789,l
114842,114842,Falklands,F,,195.931613,l
114887,114887,GulfMex,F,,,l
116975,116975,Oman,,,192.363836,l
123192,123192,HIPel,F,32,196.0702172,l
17139,17139,HongKong,U,19,123.3148487,X
73895,73895,HIPel,F,25,184.6783797,x
72692,72692,Warm pool,M,10,195.86347,xl
93155,93155,Australia,M,5,195.9744388,xl
102437,102437,NWHI,M,1,195.6498292,xl
4176,4176,JAPAN,M,18,126.3704246,
4522,4522,IndianOcean,F,21,67.70259883,
7397,7397,MALAYSIA,M,20,29.00719863,
9883,9883,MALDIVES,M,21,68.72626891,
11648,11648,Mex,M,9,27.54984139,
11650,11650,Mex,F,9,135.1117618,
13844,13844,Korean market,U,,83.50878477,
16137,16137,Pan,M,10,133.7515251,
16143,16143,Pan,M,10,56.57473158,
16148,16148,Pan,M,10,27.2806857,
18301,18301,Pan,M,12,195.0968155,
18458,18458,Mex,M,9,172.3249756,
18461,18461,Mex,F,9,40.23822596,
18462,18462,Mex,F,9,85.35675939,
18945,18945,HIM,F,2,150.1063324,
18954,18954,HIM,M,1,42.17801367,
18955,18955,HIM,F,1,75.57180332,
23319,23319,HIM,M,1,65.61560517,
23320,23320,HIM,F,2,74.72437775,
27453,27453,HIO,F,1,117.2314544,
27510,27510,Atlantic,M,23,,
30072,30072,HIBigI,F,1,107.4580283,
33885,33885,HIO,F,1,161.8835408,
33892,33892,HIO,F,1,137.9570522,
33898,33898,HIO,M,1,133.080039,
33899,33899,HIO,F,1,173.9350903,
33902,33902,HIO,F,1,88.63347975,
33903,33903,HIO,F,1,94.81185944,
33905,33905,HIO,M,1,119.3486457,
33906,33906,HIO,M,1,116.8585896,
33908,33908,HIO,M,1,185.3542582,
38074,38074,Mex,M,11,125.0043314,
41854,41854,CNPLongLine,M,9,191.3325403,
41855,41855,CNPLongLine,M,9,190.2467057,
45817,45817,AmSamoa,F,17,41.82460957,
45925,45925,HIBigI,M,2,74.74816984,
45928,45928,HIBigI,F,1,184.7415813,
49048,49048,HIBigI,M,1,75.83394339,
49052,49052,HIBigI,M,5,,
49057,49057,Palm,F,9,132.2884944,
49058,49058,Palm,F,7,143.3418131,
49059,49059,Palm,F,9,80.16550756,
49097,49097,CNPLongLine,F,6,185.6038311,
49098,49098,CNPLongLine,M,9,107.1298804,
53477,53477,CNPLongLine,M,9,117.4158126,
67067,67067,Warm pool,M,27,94.42825769,
67156,67157,SW of Galapagos,M,28,136.7458516,
72688,72688,Warm pool,F,10,129.079307,
72696,72696,Warm pool,M,29,26.15233041,
73897,73897,HIPel,M,9,81.9715715,
74710,74710,AmSamoa,F,26,84.2817838,
75660,75660,HIBigI,M,1,175.7523182,
75663,75663,HIBigI,M,2,10.52263299,
75676,75676,HIBigI,F,1,149.966447,
79765,79765,AmSamoa,F,17,186.613287,
91081,91081,HIBigI,F,1,94.34278917,
91086,91086,HIBigI,F,1,131.1264031,
91274,91274,HIOffBigI,F,1,183.9227672,
91276,91276,HIOffBigI,F,1,170.988592,
91284,91284,HIBigI,M,1,190.8477306,
92254,92254,HIO,F,1,176.1663616,
92256,92256,HIO,M,1,67.53092972,
93156,93156,Australia,F,5,,
94784,94784,CNPLongLine,M,9,186.3874451,
98734,98734,HIBigI,M,1,150.1052953,
98735,98735,HIBigI,M,1,158.9169717,
98737,98737,HIBigI,F,2,150.7401781,
98738,98738,HIBigI,M,2,174.9502196,
98743,98743,HIBigI,F,1,103.8962299,
98744,98744,HIBigI,M,1,93.77513421,
98745,98745,HIBigI,M,2,113.4526598,
102208,102208,Pelagic,F,9,134.9080039,
102210,102210,Pelagic,M,9,12.71284773,
102212,102212,Pelagic,F,30,183.5389214,
102213,102213,Pelagic,F,30,151.8311371,
102216,102216,Pelagic,F,26,56.36072474,
102219,102219,NWHI,F,1,176.5300146,
102221,102221,NWHI,M,1,,
