LABID,Location,Sex,Haplotype,Mito_broad,Ocean_basins,mito.hap
z0114341,Gabon,U,-9,IndianO,IndianO,NA
z0114342,Gabon,U,-9,IndianO,IndianO,NA
z0102226,NWHI,F,1,HI,HI,NA
z0102431,NWHI,M,1,HI,HI,NA
z0007397,MALAYSIA,M,20,IndianO,IndianO,Pcra.mito.0007397
z0017139,HongKong,U,19,Wpac,Pacific,Pcra.mito.0017139
z0072696,Warm pool,M,29,Epac,Pacific,Pcra.mito.0072696
z0074710,AmSamoa,F,26,Spac,Pacific,Pcra.mito.0074710
z0092256,HIO,M,1,HI,HI,Pcra.mito.0092256
z0030072,HIBigI,F,1,HI,HI,Pcra.mito.01
z0045928,HIBigI,F,1,HI,HI,Pcra.mito.01
z0049048,HIBigI,M,1,HI,HI,Pcra.mito.01
z0075660,HIBigI,M,1,HI,HI,Pcra.mito.01
z0098734,HIBigI,M,1,HI,HI,Pcra.mito.01
z0098735,HIBigI,M,1,HI,HI,Pcra.mito.01
z0098743,HIBigI,F,1,HI,HI,Pcra.mito.01
z0098744,HIBigI,M,1,HI,HI,Pcra.mito.01
z0132631,HIBigI,F,1,HI,HI,Pcra.mito.01
z0132635,HIBigI,F,1,HI,HI,Pcra.mito.01
z0132641,HIBigI,M,1,HI,HI,Pcra.mito.01
z0116592,HIK,F,1,HI,HI,Pcra.mito.01
z0023319,HIM,M,1,HI,HI,Pcra.mito.01
z0027453,HIO,F,1,HI,HI,Pcra.mito.01
z0033885,HIO,F,1,HI,HI,Pcra.mito.01
z0033892,HIO,F,1,HI,HI,Pcra.mito.01
z0033898,HIO,M,1,HI,HI,Pcra.mito.01
z0033899,HIO,F,1,HI,HI,Pcra.mito.01
z0033902,HIO,F,1,HI,HI,Pcra.mito.01
z0033903,HIO,F,1,HI,HI,Pcra.mito.01
z0033905,HIO,M,1,HI,HI,Pcra.mito.01
z0033906,HIO,M,1,HI,HI,Pcra.mito.01
z0033908,HIO,M,1,HI,HI,Pcra.mito.01
z0102485,HIO,M,1,HI,HI,Pcra.mito.01
z0091274,HIOffBigI,F,1,HI,HI,Pcra.mito.01
z0091276,HIOffBigI,F,1,HI,HI,Pcra.mito.01
z0102219,NWHI,F,1,HI,HI,Pcra.mito.01
z0102225,NWHI,M,1,HI,HI,Pcra.mito.01
z0102433,NWHI,F,1,HI,HI,Pcra.mito.01
z0102434,NWHI,M,1,HI,HI,Pcra.mito.01
z0102435,NWHI,M,1,HI,HI,Pcra.mito.01
z0102437,NWHI,M,1,HI,HI,Pcra.mito.01
z0108128,NWHI.HIK,M,1,HI,HI,Pcra.mito.01
z0108130,NWHI.HIK,F,1,HI,HI,Pcra.mito.01
z0108131,NWHI.HIK,F,1,HI,HI,Pcra.mito.01
z0108135,NWHI.HIK,M,1,HI,HI,Pcra.mito.01
z0132640,HIBigI,F,2,HI,HI,Pcra.mito.01
z0114891,NWAtl,F,-9,Atl,Atl,Pcra.mito.0114891
z0123190,HIPel,F,32,Epac,Pacific,Pcra.mito.0123190
z0045925,HIBigI,M,2,HI,HI,Pcra.mito.02
z0098737,HIBigI,F,2,HI,HI,Pcra.mito.02
z0098738,HIBigI,M,2,HI,HI,Pcra.mito.02
z0132636,HIBigI,M,2,HI,HI,Pcra.mito.02
z0132638,HIBigI,F,2,HI,HI,Pcra.mito.02
z0132660,HIBigI,M,2,HI,HI,Pcra.mito.02
z0018945,HIM,F,2,HI,HI,Pcra.mito.02
z0023320,HIM,F,2,HI,HI,Pcra.mito.02
z0186414,HIPel,M,-9,Epac,Pacific,Pcra.mito.03
z0116588,Marianas,F,9,Wpac,Pacific,Pcra.mito.03
z0116591,Marianas,M,9,Wpac,Pacific,Pcra.mito.03
