"","Animal.ID","CR.hap","Location","Fine","Broad","Ocean_Basin"
"1","z0000022",1,"MHI","MHI","MHI","North Pacific"
"2","z0004176",18,"JAPAN","Unknown","Unknown","Unknown"
"3","z0004522",21,"IndianOcean","IO-west","IO","Indian Ocean"
"4","z0007397",20,"MALAYSIA","Malaysia","IO","Indian Ocean"
"5","z0007449",24,"Florida","Florida-weird","Atl-weird","North Atlantic"
"6","z0007605",16,"Crossing to HI","CNP-NW","CNP","North Pacific"
"7","z0009883",21,"MALDIVES","Maldives","IO","Indian Ocean"
"8","z0011647",9,"Mex","ETP","Epac","North Pacific"
"9","z0011648",9,"Mex","ETP","Epac","North Pacific"
"10","z0011650",9,"Mex","ETP","Epac","North Pacific"
"11","z0011651",9,"Mex","ETP","Epac","North Pacific"
"12","z0016136",10,"Pan","ETP","Epac","North Pacific"
"13","z0016137",10,"Pan","ETP","Epac","North Pacific"
"14","z0016138",10,"Pan","ETP","Epac","North Pacific"
"15","z0016139",10,"Pan","ETP","Epac","North Pacific"
"16","z0016140",10,"Pan","ETP","Epac","North Pacific"
"17","z0016141",10,"Pan","ETP","Epac","North Pacific"
"18","z0016142",10,"Pan","ETP","Epac","North Pacific"
"19","z0016143",10,"Pan","ETP","Epac","North Pacific"
"20","z0016144",10,"Pan","ETP","Epac","North Pacific"
"21","z0016145",10,"Pan","ETP","Epac","North Pacific"
"22","z0016146",10,"Pan","ETP","Epac","North Pacific"
"23","z0016147",10,"Pan","ETP","Epac","North Pacific"
"24","z0016148",10,"Pan","ETP","Epac","North Pacific"
"25","z0017139",19,"HongKong","Unknown","Unknown","Unknown"
"26","z0018299",12,"Pan","ETP","Epac","North Pacific"
"27","z0018300",12,"Pan","ETP","Epac","North Pacific"
"28","z0018301",12,"Pan","ETP","Epac","North Pacific"
"29","z0018447",9,"Mex","ETP","Epac","North Pacific"
"30","z0018448",10,"Mex","ETP","Epac","North Pacific"
"31","z0018454",10,"Mex","ETP","Epac","North Pacific"
"32","z0018455",9,"Mex","ETP","Epac","North Pacific"
"33","z0018457",9,"Mex","ETP","Epac","North Pacific"
"34","z0018458",9,"Mex","ETP","Epac","North Pacific"
"35","z0018459",9,"Mex","ETP","Epac","North Pacific"
"36","z0018461",9,"Mex","ETP","Epac","North Pacific"
"37","z0018462",9,"Mex","ETP","Epac","North Pacific"
"38","z0018463",9,"Mex","ETP","Epac","North Pacific"
"39","z0018464",9,"Mex","ETP","Epac","North Pacific"
"40","z0018465",9,"Mex","ETP","Epac","North Pacific"
"41","z0018938",1,"MHI","MHI","MHI","North Pacific"
"42","z0018945",2,"MHI","MHI","MHI","North Pacific"
"43","z0018946",1,"MHI","MHI","MHI","North Pacific"
"44","z0018954",1,"MHI","MHI","MHI","North Pacific"
"45","z0018955",1,"MHI","MHI","MHI","North Pacific"
"46","z0023316",1,"MHI","MHI","MHI","North Pacific"
"47","z0023317",1,"MHI","MHI","MHI","North Pacific"
"48","z0023318",2,"MHI","MHI","MHI","North Pacific"
"49","z0023319",1,"MHI","MHI","MHI","North Pacific"
"50","z0023320",2,"MHI","MHI","MHI","North Pacific"
"51","z0023321",1,"MHI","MHI","MHI","North Pacific"
"52","z0027453",1,"MHI","MHI","MHI","North Pacific"
"53","z0027454",1,"MHI","MHI","MHI","North Pacific"
"54","z0027510",23,"Ncarolina","NC-weird","Atl-weird","North Atlantic"
"55","z0030072",1,"MHI","MHI","MHI","North Pacific"
"56","z0030073",1,"MHI","MHI","MHI","North Pacific"
"57","z0030077",1,"MHI","MHI","MHI","North Pacific"
"58","z0030078",2,"MHI","MHI","MHI","North Pacific"
"59","z0030079",1,"MHI","MHI","MHI","North Pacific"
"60","z0030080",1,"MHI","MHI","MHI","North Pacific"
"61","z0030081",1,"MHI","MHI","MHI","North Pacific"
"62","z0033885",1,"MHI","MHI","MHI","North Pacific"
"63","z0033886",1,"MHI","MHI","MHI","North Pacific"
"64","z0033887",1,"MHI","MHI","MHI","North Pacific"
"65","z0033888",1,"MHI","MHI","MHI","North Pacific"
"66","z0033890",1,"MHI","MHI","MHI","North Pacific"
"67","z0033891",1,"MHI","MHI","MHI","North Pacific"
"68","z0033892",1,"MHI","MHI","MHI","North Pacific"
"69","z0033895",1,"MHI","MHI","MHI","North Pacific"
"70","z0033898",1,"MHI","MHI","MHI","North Pacific"
"71","z0033899",1,"MHI","MHI","MHI","North Pacific"
"72","z0033902",1,"MHI","MHI","MHI","North Pacific"
"73","z0033903",1,"MHI","MHI","MHI","North Pacific"
"74","z0033904",1,"MHI","MHI","MHI","North Pacific"
"75","z0033905",1,"MHI","MHI","MHI","North Pacific"
"76","z0033906",1,"MHI","MHI","MHI","North Pacific"
"77","z0033907",1,"MHI","MHI","MHI","North Pacific"
"78","z0033908",1,"MHI","MHI","MHI","North Pacific"
"79","z0033909",1,"MHI","MHI","MHI","North Pacific"
"80","z0038070",11,"Mex","ETP","Epac","North Pacific"
"81","z0038071",11,"Mex","ETP","Epac","North Pacific"
"82","z0038074",11,"Mex","ETP","Epac","North Pacific"
"83","z0041286",1,"MHI","MHI","MHI","North Pacific"
"84","z0041854",9,"CNPLongLine","CNP-SE","CNP","North Pacific"
"85","z0041855",9,"CNPLongLine","CNP-SE","CNP","North Pacific"
"86","z0045817",17,"AmSamoa","AmSamoa","Spac","South Pacific"
"87","z0045925",2,"MHI","MHI","MHI","North Pacific"
"88","z0045928",1,"MHI","MHI","MHI","North Pacific"
"89","z0045932",1,"MHI","MHI","MHI","North Pacific"
"90","z0049043",1,"MHI","MHI","MHI","North Pacific"
"91","z0049044",1,"MHI","MHI","MHI","North Pacific"
"92","z0049046",2,"MHI","MHI","MHI","North Pacific"
"93","z0049048",1,"MHI","MHI","MHI","North Pacific"
"94","z0049049",1,"MHI","MHI","MHI","North Pacific"
"95","z0049050",1,"MHI","MHI","MHI","North Pacific"
"96","z0049051",2,"MHI","MHI","MHI","North Pacific"
"97","z0049052",5,"MHI","MHI","MHI","North Pacific"
"98","z0049053",2,"MHI","MHI","MHI","North Pacific"
"99","z0049054",1,"MHI","MHI","MHI","North Pacific"
"100","z0049057",9,"Palm","Palm","CNP","North Pacific"
"101","z0049058",7,"Palm","Palm","CNP","North Pacific"
"102","z0049059",9,"Palm","Palm","CNP","North Pacific"
"103","z0049060",9,"Palm","Palm","CNP","North Pacific"
"104","z0049062",9,"Palm","Palm","CNP","North Pacific"
"105","z0049097",6,"CNPLongLine","CNP-NW","CNP","North Pacific"
"106","z0049098",9,"CNPLongLine","CNP-NW","CNP","North Pacific"
"107","z0053477",9,"CNPLongLine","CNP-SE","CNP","North Pacific"
"108","z0067067",27,"Warm pool","ETP","Epac","North Pacific"
"109","z0067155",28,"SW of Galapagos","ETP","Epac","South Pacific"
"110","z0067156",28,"SW of Galapagos","ETP","Epac","South Pacific"
"111","z0071016",2,"MHI","MHI","MHI","North Pacific"
"112","z0071017",2,"MHI","MHI","MHI","North Pacific"
"113","z0072688",10,"Warm pool","ETP","Epac","North Pacific"
"114","z0072691",10,"Warm pool","ETP","Epac","North Pacific"
"115","z0072692",10,"Warm pool","ETP","Epac","North Pacific"
"116","z0072696",29,"Warm pool","ETP","Epac","North Pacific"
