f.name,id,,f.size,AnimalID,LabID,Location,Broad,Use for vcf,Sex,Haplotype,cov.mean,X
z0007449_Pcra_RunH119L8nuc_n0002337.fastq.gz.bam,z0007449,0,"469,886,830.00",7449,7449,Atlantic,Atlantic,x,F,24,NA,l
z0027510_Pcra_RunH119L8nuc_n0002344.fastq.gz.bam,z0027510,0,"268,426,965.00",27510,27510,Atlantic,Atlantic,x,M,23,NA,
z0114888_Pcra_RunH119L8nuc_n0002406.fastq.gz.bam,z0114888,0,"114,707,111.00",114888,114888,NWAtl,Atlantic,x,F,NA,NA,
z0093155_Pcra_RunH119L8nuc_n0002410.fastq.gz.bam,z0093155,0,"207,633,059.00",93155,93155,Australia,Australia,x,M,5,195.9744388,xl
z0049058_Pcra_RunH106L6_n0001988.fastq.gz.bam,z0049058,0,"221,002,378.00",49058,49058,Palm,CNP,x,F,7,143.3418131,
z0079904_Pcra_RunH106L6_n0001999.fastq.gz.bam,z0079904,0,"208,741,201.00",79904,79904,CNPLongLine,CNP,x,F,9,196.4104441,l
z0123190_Pcra_RunH119L8nuc_n0002368.fastq.gz.bam,z0123190,0,"125,511,095.00",123190,123190,HIPel,CNP,x,F,32,24.58449244,
z0114342_Pcra_RunH119L8nuc_n0002351.fastq.gz.bam,z0114342,0,"109,487,621.00",114342,114342,Gabon,Eatl,x,,NA,45.82656174,
z0114341_Pcra_RunH119L8nuc_n0002350.fastq.gz.bam,z0114341,0,"101,033,325.00",114341,114341,Gabon,Eatl,x,,NA,48.7340776,
z0018462_Pcra_RunH119L8nuc_n0002340.fastq.gz.bam,z0018462,0,"378,729,595.00",18462,18462,Mex,ETP,x,F,9,85.35675939,
z0016137_Pcra_RunH106L6_n0001957.fastq.gz.bam,z0016137,0,"315,548,682.00",16137,16137,Pan,ETP,x,M,10,133.7515251,
z0067157_Pcra_RunH106L6_n0001994.fastq.gz.bam,z0067157,0,"200,536,778.00",67156,67157,SW of Galapagos,ETP,x,M,28,136.7458516,
z0072692_Pcra_RunH119L8nuc_n0002349.fastq.gz.bam,z0072692,0,"189,058,618.00",72692,72692,Warm pool,ETP,x,M,10,195.86347,xl
z0114840_Pcra_RunH119L8nuc_n0002338.fastq.gz.bam,z0114840,0,"434,733,718.00",114840,114840,Falklands,Falklands,x,M,NA,196.5915081,
z0114825_Pcra_RunH119L8nuc_n0002412.fastq.gz.bam,z0114825,0,"105,663,558.00",114825,114825,Falklands,Falklands,x,F,NA,196.0666789,l
z0114889_Pcra_RunH119L8nuc_n0002407.fastq.gz.bam,z0114889,0,"268,316,202.00",114889,114889,GulfMex,GulfMex,x,F,NA,NA,
z0114887_Pcra_RunH119L8nuc_n0002405.fastq.gz.bam,z0114887,0,"157,177,069.00",114887,114887,GulfMex,GulfMex,x,F,NA,NA,l
z0009883_Pcra_RunH119L8nuc_n0002384.fastq.gz.bam,z0009883,0,"388,254,384.00",9883,9883,MALDIVES,IO,x,M,21,68.72626891,
