,Sample,tot.reads
75,z0079763_Pcra_RunH119L8nuc_n0002389.fastq.gz,10465767
4,z0007449_Pcra_RunH119L8nuc_n0002337.fastq.gz,5850513
132,z0108131_Pcra_RunH119L8nuc_n0002418.fastq.gz,5838445
155,z0114840_Pcra_RunH119L8nuc_n0002338.fastq.gz,5432398
5,z0007636_Pcra_RunH106L6_n0001955.fastq.gz,4961047
7,z0009883_Pcra_RunH119L8nuc_n0002384.fastq.gz,4833526
21,z0018462_Pcra_RunH119L8nuc_n0002340.fastq.gz,4742921
177,z0116975_Pcra_RunH119L8nuc_n0002433.fastq.gz,4438860
9,z0011650_Pcra_RunH106L6_n0001956.fastq.gz,4413905
11,z0016137_Pcra_RunH106L6_n0001957.fastq.gz,4106068
27,z0023319_Pcra_RunH119L8nuc_n0002343.fastq.gz,3960203
85,z0092254_Pcra_RunH119L8nuc_n0002353.fastq.gz,3943400
131,z0108130_Pcra_RunH106L6_n0002007.fastq.gz,3766745
18,z0018458_Pcra_RunH106L6_n0001972.fastq.gz,3678185
16,z0018301_Pcra_RunH119L8nuc_n0002411.fastq.gz,3546831
74,z0075676_Pcra_RunH106L6_n0001998.fastq.gz,3421398
31,z0027510_Pcra_RunH119L8nuc_n0002344.fastq.gz,3340887
161,z0114889_Pcra_RunH119L8nuc_n0002407.fastq.gz,3340607
22,z0018945_Pcra_RunH106L6_n0001974.fastq.gz,3289421
45,z0038074_Pcra_RunH106L6_n0001983.fastq.gz,3212045
174,z0116971_Pcra_RunH119L8nuc_n0002430.fastq.gz,3211092
37,z0033898_Pcra_RunH119L8nuc_n0002346.fastq.gz,3153243
130,z0108128_Pcra_RunH106L6_n0002006.fastq.gz,3027214
80,z0091086_Pcra_RunH106L6_n0002000.fastq.gz,3027155
55,z0049058_Pcra_RunH106L6_n0001988.fastq.gz,2896328
145,z0114550_Pcra_RunH106L6_n0002045.fastq.gz,2889845
135,z0108135_Pcra_RunH119L8nuc_n0002419.fastq.gz,2860481
197,z0132660_Pcra_RunH119L8nuc_n0002399.fastq.gz,2844626
54,z0049057_Pcra_RunH106L6_n0001987.fastq.gz,2777683
29,z0027453_Pcra_RunH106L6_n0001977.fastq.gz,2726308
60,z0053477_Pcra_RunH106L6_n0001992.fastq.gz,2717748
78,z0079904_Pcra_RunH106L6_n0001999.fastq.gz,2669095
62,z0067157_Pcra_RunH106L6_n0001994.fastq.gz,2639323
42,z0033905_Pcra_RunH106L6_n0001982.fastq.gz,2603894
87,z0093155_Pcra_RunH119L8nuc_n0002410.fastq.gz,2590351
34,z0033885_Pcra_RunH119L8nuc_n0002345.fastq.gz,2577133
94,z0098737_Pcra_RunH106L6_n0002001.fastq.gz,2536349
41,z0033903_Pcra_RunH106L6_n0002049.fastq.gz,2475486
71,z0074710_Pcra_RunH106L6_n0002016.fastq.gz,2467157
49,z0045817_Pcra_RunH119L8nuc_n0002347.fastq.gz,2438957
118,z0102431_Pcra_RunH119L8nuc_n0002363.fastq.gz,2390813
77,z0079765_Pcra_RunH119L8nuc_n0002356.fastq.gz,2378786
65,z0072692_Pcra_RunH119L8nuc_n0002349.fastq.gz,2366420
59,z0049098_Pcra_RunH106L6_n0001991.fastq.gz,2354029
32,z0030072_Pcra_RunH106L6_n0001952.fastq.gz,2315829
63,z0072688_Pcra_RunH106L6_n0001995.fastq.gz,2306527
180,z0117297_Pcra_RunH119L8nuc_n0002339.fastq.gz,2221003
195,z0132640_Pcra_RunH106L6_n0002010.fastq.gz,2200223
26,z0023319_Pcra_RunH106L6_n0001976.fastq.gz,2153055
17,z0018454_Pcra_RunH119L8nuc_n0002415.fastq.gz,2146645
188,z0132631_Pcra_RunH119L8nuc_n0002371.fastq.gz,2074152
1,z0004176_Pcra_RunH106L6_n0001965.fastq.gz,2038228
129,z0102485_Pcra_RunH119L8nuc_n0002380.fastq.gz,2008229
81,z0091274_Pcra_RunH119L8nuc_n0002396.fastq.gz,1989647
20,z0018462_Pcra_RunH106L6_n0001962.fastq.gz,1982820
46,z0041854_Pcra_RunH119L8nuc_n0002390.fastq.gz,1969292
159,z0114887_Pcra_RunH119L8nuc_n0002405.fastq.gz,1957013
194,z0132638_Pcra_RunH106L6_n0002009.fastq.gz,1882964
47,z0041855_Pcra_RunH119L8nuc_n0002388.fastq.gz,1875417
28,z0023320_Pcra_RunH106L6_n0001964.fastq.gz,1856603
67,z0072696_Pcra_RunH119L8nuc_n0002354.fastq.gz,1839995
50,z0045925_Pcra_RunH106L6_n0001985.fastq.gz,1813719
10,z0013844_Pcra_RunH106L6_n0001970.fastq.gz,1787785
24,z0018954_Pcra_RunH119L8nuc_n0002342.fastq.gz,1777089
52,z0049048_Pcra_RunH106L6_n0001986.fastq.gz,1773598
162,z0114890_Pcra_RunH119L8nuc_n0002408.fastq.gz,1770791
44,z0033908_Pcra_RunH119L8nuc_n0002387.fastq.gz,1726025
114,z0102226_Pcra_RunH119L8nuc_n0002377.fastq.gz,1712295
