"","Atl-North","Atl-South","Aus_resident","CNP","Epac","Indian_Ocean","MHI","NWHI","Spac","Wpac"
"Atl-North",NA,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"Atl-South",0.87077525102024,NA,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.0161,1e-04
"Aus_resident",0.799979028498207,0.884644194756554,NA,5e-04,1e-04,0.0023,0.0024,1e-04,1e-04,1e-04
"CNP",0.811928764518985,0.275841132190245,0.252732240702007,NA,0.0385,0.5531,1e-04,1e-04,0.0016,0.0053
"Epac",0.849578918558383,0.700255548367584,0.518874662283907,0.030992720312632,NA,0.0094,1e-04,1e-04,1e-04,1e-04
"Indian_Ocean",0.770087530503936,0.667881865581012,0.520102201637264,-0.0208797951969188,0.182130727649764,NA,1e-04,1e-04,9e-04,0.2316
"MHI",0.933468311457691,0.935152777215585,0.226298307974987,0.678662606777268,0.836732269670136,0.84005435752225,NA,0.0056,1e-04,1e-04
"NWHI",0.844260104969368,0.955525666918979,1,0.549745782063723,0.767877293159575,0.852482692386778,0.0844790101357394,NA,1e-04,1e-04
"Spac",0.790523366588885,0.156079010969171,0.647613665286314,0.230403295506063,0.549488557840325,0.302662717584224,0.90718006873512,0.878324817792414,NA,3e-04
"Wpac",0.821943540223519,0.536138192793716,0.510094759902593,0.0703030615352799,0.156340458815736,0.0282032204593693,0.841615823025678,0.75577880531319,0.325669091092579,NA
