"","stratum","num.genotyped","num.missing","prop.genotyped","num.haplotypes","allelic.richness","prop.unique.haplotypes","haplotypic.diversity","Nei_pi_nuc_div","other_mean.nuc.diversity"
"1","Aus_resident",14,0,1,1,0.0714285714285714,0,0,0,0
"2","Atl-North",21,0,1,6,0.285714285714286,0.0952380952380952,0.738095238095238,0.00439972672659052,0.00460602403580226
"3","MHI",174,0,1,3,0.0172413793103448,0.00574712643678161,0.288950900272407,0.000667466666907862,0.000648025988534928
"4","Wpac",41,0,1,10,0.24390243902439,0.0975609756097561,0.820731707317073,0.00292268941021444,0.00320557491289198
"5","Indian_Ocean",10,0,1,5,0.5,0.2,0.844444444444444,0.00261805441461277,0.00305702527924751
"6","CNP",81,0,1,15,0.185185185185185,0.0864197530864197,0.822530864197531,0.00317355405642823,0.00372722755126258
"7","Unknown",3,0,1,3,1,1,1,0.00520517687773324,0.00493827160493828
"8","Epac",45,0,1,8,0.177777777777778,0.0444444444444444,0.743434343434343,0.00234374864487899,0.00254609587942921
"9","Spac",11,0,1,5,0.454545454545455,0.181818181818182,0.781818181818182,0.00328647185259921,0.00357864357864359
"10","NWHI",38,0,1,2,0.0526315789473684,0.0263157894736842,0.0526315789473684,0,5.56947925368972e-05
"11","Atl-South",22,0,1,3,0.136363636363636,0,0.601731601731602,0.000772456531879749,0.000916191392381874
"12","Overall",460,0,1,49,0.106521739130435,0.0434782608695652,0.81898266552998,NA,0.00409175869393876
