"","Atl-North","Atl-South","Aus_resident","CNP","Epac","Indian_Ocean","MHI","NWHI","Spac","Unknown","Wpac",""
"1",0,0,0,0,0,0,144,37,0,1,0,182
"10",0,0,0,0,18,0,0,0,0,0,0,18
"11",0,0,0,0,3,0,0,0,0,0,0,3
"12",0,0,0,0,3,0,0,0,0,0,0,3
"16",0,0,0,1,0,0,0,0,0,0,0,1
"17",0,11,0,0,0,0,0,0,5,0,0,16
"18",0,0,0,0,0,0,0,0,0,0,1,1
"19",0,0,0,0,0,0,0,0,0,0,1,1
"2",0,0,0,0,0,0,29,0,0,0,0,29
"20",0,0,0,0,0,1,0,0,0,0,0,1
"21",0,0,0,0,0,2,0,0,0,0,0,2
"23",10,0,0,0,0,0,0,0,0,0,0,10
"24",4,0,0,0,0,0,0,0,0,0,0,4
"25",0,0,0,5,0,0,0,0,0,0,0,5
"26",0,0,0,8,0,0,0,0,2,0,5,15
"27",0,0,0,0,3,0,0,0,0,0,0,3
"28",0,0,0,0,0,0,0,0,2,0,0,2
"29",0,0,0,0,1,0,0,0,0,0,0,1
"30",0,0,0,6,0,0,0,0,0,0,0,6
"31",0,0,0,0,0,0,0,1,0,0,0,1
"32",0,0,0,3,0,0,0,0,1,0,0,4
"33",0,0,0,1,0,0,0,0,0,0,0,1
"34",0,0,0,0,0,0,0,0,0,0,14,14
"35",0,0,0,0,2,0,0,0,0,0,0,2
"36",0,0,0,0,1,0,0,0,0,0,0,1
"37",0,0,0,1,0,0,0,0,0,0,0,1
"38",0,0,0,14,0,0,0,0,0,0,0,14
"39",0,0,0,1,0,0,0,0,0,0,0,1
"40",0,0,0,1,0,0,0,0,0,0,0,1
"41",0,9,0,0,0,0,0,0,0,0,0,9
"43",2,0,0,0,0,0,0,0,0,0,0,2
"44",0,0,0,0,0,0,0,0,1,0,0,1
"45",0,2,14,0,0,3,0,0,0,0,0,19
"46",0,0,0,0,0,0,0,0,0,0,3,3
"47",0,0,0,0,0,0,0,0,0,0,1,1
"48",0,0,0,2,0,0,0,0,0,0,0,2
"49",0,0,0,0,0,0,0,0,0,0,2,2
"5",0,0,0,0,0,3,1,0,0,0,0,4
"50",3,0,0,0,0,0,0,0,0,0,0,3
"51",1,0,0,0,0,0,0,0,0,0,0,1
"52",1,0,0,0,0,0,0,0,0,0,0,1
"53",0,0,0,0,0,1,0,0,0,0,0,1
"54",0,0,0,0,0,0,0,0,0,1,0,1
"55",0,0,0,1,0,0,0,0,0,0,0,1
"56",0,0,0,0,0,0,0,0,0,1,0,1
"6",0,0,0,7,0,0,0,0,0,0,0,7
"62",0,0,0,0,0,0,0,0,0,0,1,1
"7",0,0,0,1,0,0,0,0,0,0,4,5
"9",0,0,0,29,14,0,0,0,0,0,9,52
