,strata.1,strata.2,label,n.1,n.2,CHIsq,CHIsq_p.val,Fst,Fst_p.val,PHIst,PHIst_p.val,dA,mean
1,Atl-North,Atl-South,Atl-North (21) v. Atl-South (22),21,22,43,1.00E-04,0.330737766,1.00E-04,0.870775251,1.00E-04,0.00843098,0.011017071
2,Atl-North,Aus_resident,Atl-North (21) v. Aus_resident (14),21,14,35,1.00E-04,0.581632981,1.00E-04,0.799979028,1.00E-04,0.007033924,0.009233787
4,Atl-North,Epac,Atl-North (21) v. Epac (45),21,45,66,1.00E-04,0.258924975,1.00E-04,0.849578919,1.00E-04,0.006919225,0.010290963
8,Atl-North,Spac,Atl-North (21) v. Spac (11),21,11,32,1.00E-04,0.242551533,1.00E-04,0.790523367,1.00E-04,0.006704254,0.010547353
3,Atl-North,CNP,Atl-North (21) v. CNP (81),21,81,102,1.00E-04,0.213105311,1.00E-04,0.811928765,1.00E-04,0.006557449,0.01034409
10,Atl-North,Wpac,Atl-North (21) v. Wpac (41),21,41,62,1.00E-04,0.216835914,1.00E-04,0.82194354,1.00E-04,0.006387247,0.010048455
5,Atl-North,Indian_Ocean,Atl-North (21) v. Indian_Ocean (10),21,10,31,1.00E-04,0.215334304,3.00E-04,0.770087531,1.00E-04,0.006269249,0.009778139
6,Atl-North,MHI,Atl-North (21) v. MHI (174),21,174,195,1.00E-04,0.596481883,1.00E-04,0.933468311,1.00E-04,0.006221301,0.008754897
7,Atl-North,NWHI,Atl-North (21) v. NWHI (38),21,38,59,1.00E-04,0.676158265,1.00E-04,0.844260105,1.00E-04,0.00622019,0.008420053
16,Atl-South,NWHI,Atl-South (22) v. NWHI (38),22,38,60,1.00E-04,0.729516236,1.00E-04,0.955525667,1.00E-04,0.004794197,0.005180426
15,Atl-South,MHI,Atl-South (22) v. MHI (174),22,174,196,1.00E-04,0.634711738,1.00E-04,0.935152777,1.00E-04,0.004449834,0.005169796
50,NWHI,Spac,NWHI (38) v. Spac (11),38,11,49,1.00E-04,0.74493419,1.00E-04,0.878324818,1.00E-04,0.003843653,0.005486889
11,Atl-South,Aus_resident,Atl-South (22) v. Aus_resident (14),22,14,28.63636364,1.00E-04,0.617572444,1.00E-04,0.884644195,1.00E-04,0.003669169,0.004055397
52,NWHI,Wpac,NWHI (38) v. Wpac (41),38,41,79,1.00E-04,0.554685021,1.00E-04,0.755778805,1.00E-04,0.003592536,0.00505388
47,MHI,Spac,MHI (174) v. Spac (11),174,11,185,1.00E-04,0.605933932,1.00E-04,0.907180069,1.00E-04,0.003498117,0.005475086
37,Epac,NWHI,Epac (45) v. NWHI (38),45,38,83,1.00E-04,0.583941148,1.00E-04,0.767877293,1.00E-04,0.003452308,0.004624182
49,MHI,Wpac,MHI (174) v. Wpac (41),174,41,215,1.00E-04,0.536547351,1.00E-04,0.841615823,1.00E-04,0.003240349,0.005035427
13,Atl-South,Epac,Atl-South (22) v. Epac (45),22,45,67,1.00E-04,0.318297774,1.00E-04,0.700255548,1.00E-04,0.003215053,0.004773155
31,CNP,NWHI,CNP (81) v. NWHI (38),81,38,119,1.00E-04,0.490289447,1.00E-04,0.549745782,1.00E-04,0.003157992,0.004744769
36,Epac,MHI,Epac (45) v. MHI (174),45,174,219,1.00E-04,0.561279833,1.00E-04,0.83673227,1.00E-04,0.003106615,0.004612222
30,CNP,MHI,CNP (81) v. MHI (174),81,174,255,1.00E-04,0.493556847,1.00E-04,0.678662607,1.00E-04,0.002813157,0.004733667
25,Aus_resident,Spac,Aus_resident (14) v. Spac (11),14,11,25,1.00E-04,0.64479013,1.00E-04,0.647613665,1.00E-04,0.002717371,0.004360606
27,Aus_resident,Wpac,Aus_resident (14) v. Wpac (41),14,41,55,1.00E-04,0.479210664,1.00E-04,0.51009476,1.00E-04,0.002472319,0.003933663
19,Atl-South,Wpac,Atl-South (22) v. Wpac (41),22,41,63,1.00E-04,0.27760659,1.00E-04,0.536138193,1.00E-04,0.002383631,0.004231204
14,Atl-South,Indian_Ocean,Atl-South (22) v. Indian_Ocean (10),22,10,26.41454545,1.00E-04,0.275480675,4.00E-04,0.667881866,1.00E-04,0.002373151,0.004068406
21,Aus_resident,Epac,Aus_resident (14) v. Epac (45),14,45,59,1.00E-04,0.515120587,1.00E-04,0.518874662,1.00E-04,0.002333899,0.003505773
42,Indian_Ocean,NWHI,Indian_Ocean (10) v. NWHI (38),10,38,48,1.00E-04,0.73688349,1.00E-04,0.852482692,1.00E-04,0.002251253,0.00356028
38,Epac,Spac,Epac (45) v. Spac (11),45,11,56,1.00E-04,0.241308312,1.00E-04,0.549488558,1.00E-04,0.002068974,0.004884085
20,Aus_resident,CNP,Aus_resident (14) v. CNP (81),14,81,95,1.00E-04,0.443628317,1.00E-04,0.252732241,5.00E-04,0.002038387,0.003625164
12,Atl-South,CNP,Atl-South (22) v. CNP (81),22,81,103,1.00E-04,0.26788981,1.00E-04,0.275841132,1.00E-04,0.00192793,0.003900936
41,Indian_Ocean,MHI,Indian_Ocean (10) v. MHI (174),10,174,169.4068966,1.00E-04,0.591357544,1.00E-04,0.840054358,1.00E-04,0.001907269,0.00355003
43,Indian_Ocean,Spac,Indian_Ocean (10) v. Spac (11),10,11,21,1.00E-04,0.187421055,4.00E-04,0.302662718,7.00E-04,0.00121849,0.004170754
32,CNP,Spac,CNP (81) v. Spac (11),81,11,69.67631874,1.00E-04,0.176136185,2.00E-04,0.230403296,0.0011,0.001200983,0.004430996
54,Spac,Wpac,Spac (11) v. Wpac (41),11,41,43.43490656,1.00E-04,0.177327821,1.00E-04,0.325669091,2.00E-04,0.001194346,0.004298927
22,Aus_resident,Indian_Ocean,Aus_resident (14) v. Indian_Ocean (10),14,10,13.83529412,5.00E-04,0.456699346,5.00E-04,0.520102202,0.0016,0.001135561,0.002444588
24,Aus_resident,NWHI,Aus_resident (14) v. NWHI (38),14,38,52,1.00E-04,0.961492414,1.00E-04,1,1.00E-04,0.001108436,0.001108436
35,Epac,Indian_Ocean,Epac (45) v. Indian_Ocean (10),45,10,55,1.00E-04,0.216414687,3.00E-04,0.182130728,0.0099,0.000844718,0.003325619
23,Aus_resident,MHI,Aus_resident (14) v. MHI (174),14,174,188,1.00E-04,0.758907451,1.00E-04,0.226298308,0.0032,0.000787475,0.001121209
29,CNP,Indian_Ocean,CNP (81) v. Indian_Ocean (10),81,10,91,1.00E-04,0.168795018,3.00E-04,-0.020879795,0.5619,0.000606552,0.003502357
40,Epac,Wpac,Epac (45) v. Wpac (41),45,41,64.03944857,1.00E-04,0.160985868,1.00E-04,0.156340459,1.00E-04,0.000574531,0.00320775
34,CNP,Wpac,CNP (81) v. Wpac (41),81,41,73.8417037,1.00E-04,0.095237013,1.00E-04,0.070303062,0.0062,0.000380391,0.003428513
28,CNP,Epac,CNP (81) v. Epac (45),81,45,84.8754522,1.00E-04,0.116969978,1.00E-04,0.03099272,0.0383,0.000369124,0.003127775
17,Atl-South,Spac,Atl-South (22) v. Spac (11),22,11,17.53125,6.00E-04,0.114331723,0.0445,0.156079011,0.0193,0.000302687,0.002332151
45,Indian_Ocean,Wpac,Indian_Ocean (10) v. Wpac (41),10,41,51,1.00E-04,0.169442662,3.00E-04,0.02820322,0.2301,0.00020275,0.002973122
46,MHI,NWHI,MHI (174) v. NWHI (38),174,38,11.91039897,0.0042,0.078126345,0.0098,0.08447901,0.0076,6.21E-05,0.000395795
