,strata.1,strata.2,label,n.1,n.2,CHIsq,CHIsq_p.val,Fst,Fst_p.val,PHIst,PHIst_p.val,dA,mean
46,MHI,NWHI,MHI (51) v. NWHI (9),51,9,20.57233704,0.05,-0.00040407,0.372,0.107087821,0.035,1.12E-05,0.00029087
44,IO,Unknown,IO (8) v. Unknown (5),8,5,13,0.386,0.019384265,0.483,0.089468815,0.194,1.28E-05,0.00103843
34,CNP,Wpac,CNP (25) v. Wpac (6),25,6,26.72888889,0.045,0.070328869,0.02,-0.042170886,0.577,2.24E-05,0.00060322
17,Atl-South,Spac,Atl-South (7) v. Spac (7),7,7,14,0.012,0.30952381,0.012,0.076861526,0.262,3.61E-05,0.000514539
40,Epac,Wpac,Epac (19) v. Wpac (6),19,6,17.1679198,0.15,0.028957992,0.207,0.092444288,0.101,5.13E-05,0.000496195
28,CNP,Epac,CNP (25) v. Epac (19),25,19,40.60350877,0.001,0.062618105,0.002,0.095686466,0.027,7.45E-05,0.000656611
55,Unknown,Wpac,Unknown (5) v. Wpac (6),5,6,11,0.181,0.069478908,0.199,0.137582656,0.008,9.88E-05,0.001160373
45,IO,Wpac,IO (8) v. Wpac (6),8,6,14,0.108,0.081835179,0.025,0.308670715,0.011,0.000103182,0.000510938
33,CNP,Unknown,CNP (25) v. Unknown (5),25,5,30,0.016,0.027552674,0.121,0.349506194,0.003,0.000112681,0.001311455
29,CNP,IO,CNP (25) v. IO (8),25,8,33,0.016,0.041776352,0.038,0.044065181,0.187,0.000117297,0.000662256
53,Spac,Unknown,Spac (7) v. Unknown (5),7,5,12,0.187,0.076669415,0.198,0.158564784,0.004,0.00013458,0.001303135
32,CNP,Spac,CNP (25) v. Spac (7),25,7,29.07428571,0.02,0.08244914,0.008,0.17442172,0.03,0.000152372,0.000840213
42,IO,NWHI,IO (8) v. NWHI (9),8,9,17,0.006,0.231296758,0.013,0.237017783,0.017,0.000155501,0.000493812
51,NWHI,Unknown,NWHI (9) v. Unknown (5),9,5,14,0.026,0.24025974,0.027,0.146912334,0.058,0.000162579,0.001154703
43,IO,Spac,IO (8) v. Spac (7),8,7,15,0.098,0.087983567,0.06,0.234880877,0.026,0.000170944,0.000685684
41,IO,MHI,IO (8) v. MHI (51),8,51,59,0.001,0.265699211,0.001,0.389652547,0.001,0.000176585,0.000489796
48,MHI,Unknown,MHI (51) v. Unknown (5),51,5,56,0.001,0.269556743,0.003,0.515912211,0.001,0.000184939,0.001151965
31,CNP,NWHI,CNP (25) v. NWHI (9),25,9,31.43111111,0.002,0.198843895,0.001,0.129883599,0.05,0.000186142,0.000697552
18,Atl-South,Unknown,Atl-South (7) v. Unknown (5),7,5,12,0.03,0.261603376,0.031,0.146733114,0.015,0.000195503,0.001184908
