"","strata.1","strata.2","label","n.1","n.2","CHIsq","CHIsq_p.val","Fst","Fst_p.val","PHIst","PHIst_p.val","dA","mean"
"1","Indian Ocean","North Atlantic","Indian Ocean (8) v. North Atlantic (13)",8,13,21,0.1,0.0851369149417155,0.1,0.764651803667206,0.1,0.00204104491642129,0.00284918656352207
"2","Indian Ocean","North Pacific","Indian Ocean (8) v. North Pacific (109)",8,109,117,0.1,0.0906958073855364,0.1,0.0364110007289907,0.3,8.38730309696057e-05,0.000553848766094316
"3","Indian Ocean","South Atlantic","Indian Ocean (8) v. South Atlantic (7)",8,7,15,0.1,0.248558833502882,0.1,0.455080396094906,0.1,0.00021789221729618,0.000553483669262828
"4","Indian Ocean","South Pacific","Indian Ocean (8) v. South Pacific (8)",8,8,16,0.1,0.0714285714285714,0.1,0.185409258584289,0.1,0.000143069698865673,0.000670257213095959
"5","Indian Ocean","Unknown","Indian Ocean (8) v. Unknown (4)",8,4,12,0.3,0.0204081632653062,0.4,-0.0184590767899353,0.5,-8.8187577844848e-06,0.000469791465763446
"6","North Atlantic","North Pacific","North Atlantic (13) v. North Pacific (109)",13,109,122,0.1,0.128341827727776,0.1,0.913451005672206,0.1,0.00204391879051212,0.00295017651238153
"7","North Atlantic","South Atlantic","North Atlantic (13) v. South Atlantic (7)",13,7,20,0.1,0.277360838496966,0.1,0.761820398344865,0.1,0.0021341919109778,0.00290606534968915
"8","North Atlantic","South Pacific","North Atlantic (13) v. South Pacific (8)",13,8,21,0.1,0.118472132810519,0.1,0.768770699880434,0.1,0.00203649030857326,0.00299995980954825
"9","North Atlantic","Unknown","North Atlantic (13) v. Unknown (4)",13,4,17,0.1,0.0780141843971632,0.1,0.71580616958904,0.1,0.00196105107704473,0.00287594328733736
"10","North Pacific","South Atlantic","North Pacific (109) v. South Atlantic (7)",109,7,116,0.1,0.246322235777197,0.1,0.300779435269338,0.1,0.000255099196906164,0.000688806723641438
"11","North Pacific","South Pacific","North Pacific (109) v. South Pacific (8)",109,8,109.150802752294,0.1,0.118990207867826,0.1,0.303137587935505,0.1,0.000183752433383755,0.000809056022382668
"12","North Pacific","Unknown","North Pacific (109) v. Unknown (4)",109,4,113,0.1,0.0835993634336456,0.2,0.130679348441833,0.2,8.74487638342787e-05,0.000664175062150837
"13","South Atlantic","South Pacific","South Atlantic (7) v. South Pacific (8)",7,8,15,0.2,0.285083248386001,0.2,0.0637850113182277,0.6,3.96301641711835e-05,0.000530549470012033
"14","South Atlantic","Unknown","South Atlantic (7) v. Unknown (4)",7,4,11,0.1,0.280764635603345,0.2,0.411244826971542,0.2,0.000198079801027802,0.000640421816186297
"15","South Pacific","Unknown","South Pacific (8) v. Unknown (4)",8,4,12,0.2,0.0618066561014263,0.3,0.133112521715613,0.2,0.00010948868891906,0.000743426766341193
