,stratum,num.genotyped,num.missing,prop.genotyped,num.haplotypes,allelic.richness,prop.unique.haplotypes,haplotypic.diversity,Nei_pi_nuc_div,other_mean.nuc.diversity
1,Unknown,4,0,1,4,1,1,1,0.000585397,0.000752905
2,Indian_Ocean,8,0,1,7,0.875,0.75,0.964285714,0.000371883,0.000507962
3,Epac,18,0,1,10,0.555555556,0.388888889,0.888888889,0.000401554,0.000420117
4,MHI,43,0,1,7,0.162790698,0.093023256,0.598006645,0.000230992,0.000237275
5,Atl-North,12,0,1,7,0.583333333,0.333333333,0.878787879,0.001304299,0.001319839
6,CNP,29,0,1,20,0.689655172,0.517241379,0.963054187,0.000673653,0.000732745
7,Spac,8,0,1,6,0.75,0.625,0.892857143,0.000682557,0.000717251
8,NWHI,13,0,1,3,0.230769231,0.153846154,0.294871795,9.48E-06,1.88E-05
9,Atl-South,7,0,1,4,0.571428571,0.285714286,0.80952381,0.000299342,0.000406951
10,Wpac,6,0,1,4,0.666666667,0.333333333,0.866666667,0.000443678,0.000512758
11,Overall,148,0,1,69,0.466216216,0.331081081,0.929674573,NA,0.001021237
