"","strata.1","strata.2","label","n.1","n.2","CHIsq","CHIsq_p.val","Fst","Fst_p.val","PHIst","PHIst_p.val","dA","mean"
"1","Atl-North","Atl-South","Atl-North (12) v. Atl-South (7)",12,7,19,0.0033,0.152441445017864,0.0045,0.748151421660023,3e-04,0.00206635647763586,0.00286817695293883
"2","Atl-North","CNP","Atl-North (12) v. CNP (29)",12,29,41,5e-04,0.0757368805715538,1e-04,0.847527127885442,1e-04,0.00205995248367206,0.00304892857095754
"3","Atl-North","Epac","Atl-North (12) v. Epac (18)",12,18,30,1e-04,0.115907714332911,2e-04,0.84111840599525,1e-04,0.00218663578516802,0.0030395622162355
"4","Atl-North","Indian_Ocean","Atl-North (12) v. Indian_Ocean (8)",12,8,20,0.0111,0.0809602488094085,0.0269,0.751531264073277,0.0015,0.0019726196351076,0.002810710551146
"5","Atl-North","MHI","Atl-North (12) v. MHI (43)",12,43,55,1e-04,0.291637945672576,1e-04,0.892013358808665,1e-04,0.00204585225341501,0.00281349779382164
"6","Atl-North","NWHI","Atl-North (12) v. NWHI (13)",12,13,25,1e-04,0.419630279782416,1e-04,0.791391141196986,1e-04,0.00208617972440097,0.00274306708821515
"7","Atl-North","Spac","Atl-North (12) v. Spac (8)",12,8,20,0.0039,0.114630613230323,0.0083,0.755967198391517,2e-04,0.00196834747452628,0.00296177582823034
"8","Atl-North","Unknown","Atl-North (12) v. Unknown (4)",12,4,16,0.0707,0.0731707317073172,0.1236,0.697400872592663,0.0078,0.00189420945732924,0.00283905751659978
"9","Atl-North","Wpac","Atl-North (12) v. Wpac (6)",12,6,18,0.0089,0.126516464471404,0.0095,0.749006472341808,4e-04,0.00208300679785223,0.00295699565520315
"10","Atl-South","CNP","Atl-South (7) v. CNP (29)",7,29,36,0.0043,0.100995268396149,0.0014,0.262858003989101,0.0067,0.000287516641671082,0.000774013945013535
"11","Atl-South","Epac","Atl-South (7) v. Epac (18)",7,18,25,0.0017,0.144951693557523,0.0029,0.660508488522611,1e-04,0.000443517528889994,0.000793965176014455
"12","Atl-South","Indian_Ocean","Atl-South (7) v. Indian_Ocean (8)",7,8,15,0.0479,0.111111111111111,0.0087,0.455080399210854,0.0029,0.000217905646774889,0.000553517778870267
"13","Atl-South","MHI","Atl-South (7) v. MHI (43)",7,43,50,1e-04,0.331136811906043,1e-04,0.672309927464531,1e-04,0.000357567021148882,0.000622733777612488
"14","Atl-South","NWHI","Atl-South (7) v. NWHI (13)",7,13,20,1e-04,0.49961854586806,1e-04,0.818046712831776,1e-04,0.000422634484242583,0.000577043064113733
"15","Atl-South","Spac","Atl-South (7) v. Spac (8)",7,8,15,0.02,0.147653305926687,0.0071,0.0637850135612228,0.2821,3.9632607579916e-05,0.000530582177340953
"16","Atl-South","Unknown","Atl-South (7) v. Unknown (4)",7,4,11,0.1081,0.108796296296296,0.115,0.411244831331479,0.0258,0.000198092009255835,0.000640461284583352
"17","Atl-South","Wpac","Atl-South (7) v. Wpac (6)",7,6,13,0.0151,0.162949194547708,0.0205,0.559206071800469,0.0024,0.000306435108618552,0.000677945182026448
"18","CNP","Epac","CNP (29) v. Epac (18)",29,18,47,1e-04,0.0726293187471722,1e-04,0.096440492752369,0.0251,7.8208447525731e-05,0.000615811706632706
"19","CNP","Indian_Ocean","CNP (29) v. Indian_Ocean (8)",29,8,37,0.0061,0.036398740051783,0.0328,0.0860181081765179,0.09,0.000140623374250048,0.000663391118327939
"20","CNP","MHI","CNP (29) v. MHI (43)",29,43,72,1e-04,0.229447054691125,1e-04,0.456625257048501,1e-04,0.00033240482633612,0.000784727194782239
"21","CNP","NWHI","CNP (29) v. NWHI (13)",29,13,42,1e-04,0.318561899193371,1e-04,0.358252629022487,2e-04,0.000398692187176384,0.000740256379030048
"22","CNP","Spac","CNP (29) v. Spac (8)",29,8,34.0495689655173,0.0071,0.0636086895491183,0.0055,0.217687446558419,0.0122,0.000168557082613697,0.000846662264357248
"23","CNP","Unknown","CNP (29) v. Unknown (4)",29,4,33,0.0846,0.0228288370379705,0.219,0.120199632946114,0.1185,0.00012657853411611,0.000756103421426141
"24","CNP","Wpac","CNP (29) v. Wpac (6)",29,6,35,0.0161,0.0765083665493958,0.0065,-0.0524521998948677,0.6624,1.87540242607242e-05,0.000577419709651134
"25","Epac","Indian_Ocean","Epac (18) v. Indian_Ocean (8)",18,8,26,0.0011,0.0771410656265016,0.0171,0.481775243334374,1e-04,0.000242407347755868,0.000629125435615767
"26","Epac","MHI","Epac (18) v. MHI (43)",18,43,61,1e-04,0.27708173521521,1e-04,0.721549575642883,1e-04,0.000441678756626938,0.000757951468855065
