"","stratum","num.genotyped","num.missing","prop.genotyped","num.haplotypes","allelic.richness","prop.unique.haplotypes","haplotypic.diversity","Nei_pi_nuc_div","other_mean.nuc.diversity"
"1","Wpac",8,0,1,6,0.75,0.5,0.929,0.000522,0.000605
"2","Indian_Ocean",8,0,1,7,0.875,0.75,0.964,0.000372,0.000508
"3","Unknown",2,0,1,2,1,1,1,0.000616,0.000794
"4","Epac",18,0,1,10,0.556,0.389,0.889,0.000402,0.00042
"5","MHI",43,0,1,7,0.163,0.093,0.598,0.000231,0.000237
"6","Atl-North",12,0,1,7,0.583,0.333,0.879,0.0013,0.00132
"7","CNP",29,0,1,20,0.69,0.517,0.963,0.000674,0.000733
"8","Spac",8,0,1,6,0.75,0.625,0.893,0.000683,0.000717
"9","NWHI",13,0,1,3,0.231,0.154,0.295,9.48e-06,1.88e-05
"10","Atl-South",7,0,1,4,0.571,0.286,0.81,0.000299,0.000407
"11","Overall",148,0,1,69,0.466,0.331,0.93,NA,0.00102
