"","mito.hap","CR.hap","Atl-North","Atl-South","CNP","Epac","Indian_Ocean","MHI","NWHI","Spac","Unknown","Wpac","V11"
"1","Pcra.mito.20","Hap_18",0,0,0,0,0,0,0,0,0,1,1
"2","Pcra.mito.21","Hap_21",0,0,0,0,1,0,0,0,0,0,1
"3","Pcra.mito.63","Hap_20",0,0,0,0,1,0,0,0,0,0,1
"4","Pcra.mito.22","Hap_54",0,0,0,0,0,0,0,0,1,0,1
"5","Pcra.mito.23","Hap_21",0,0,0,0,1,0,0,0,0,0,1
"6","Pcra.mito.03","Hap_9",0,0,0,5,0,0,0,0,0,2,7
"7","Pcra.mito.24","Hap_56",0,0,0,0,0,0,0,0,1,0,1
"8","Pcra.mito.05","Hap_10",0,0,0,4,0,0,0,0,0,0,4
"9","Pcra.mito.25","Hap_10",0,0,0,1,0,0,0,0,0,0,1
"10","Pcra.mito.67","Hap_19",0,0,0,0,0,0,0,0,0,1,1
"11","Pcra.mito.26","Hap_12",0,0,0,1,0,0,0,0,0,0,1
"12","Pcra.mito.27","Hap_10",0,0,0,1,0,0,0,0,0,0,1
"13","Pcra.mito.02","Hap_2",0,0,0,0,0,8,0,0,0,0,8
"14","Pcra.mito.04","Hap_1",0,0,0,0,0,5,0,0,0,0,5
"15","Pcra.mito.01","Hap_1",0,0,0,0,0,26,11,0,0,0,37
"16","Pcra.mito.10","Hap_23",1,0,0,0,0,0,0,0,0,0,1
"17","Pcra.mito.28","Hap_11",0,0,0,1,0,0,0,0,0,0,1
"18","Pcra.mito.29","Hap_9",0,0,1,0,0,0,0,0,0,0,1
"19","Pcra.mito.06","Hap_9",0,0,4,0,0,0,0,0,0,0,4
"20","Pcra.mito.09","Hap_17",0,0,0,0,0,0,0,3,0,0,3
"21","Pcra.mito.30","Hap_5",0,0,0,0,0,1,0,0,0,0,1
"22","Pcra.mito.11","Hap_9",0,0,2,0,0,0,0,0,0,0,2
"23","Pcra.mito.31","Hap_7",0,0,1,0,0,0,0,0,0,0,1
"24","Pcra.mito.12","Hap_6",0,0,2,0,0,0,0,0,0,0,2
"25","Pcra.mito.32","Hap_27",0,0,0,2,0,0,0,0,0,0,2
"26","Pcra.mito.33","Hap_28",0,0,0,0,0,0,0,1,0,0,1
"27","Pcra.mito.60","Hap_29",0,0,0,1,0,0,0,0,0,0,1
"28","Pcra.mito.34","Hap_25",0,0,1,0,0,0,0,0,0,0,1
"29","Pcra.mito.66","Hap_26",0,0,0,0,0,0,0,1,0,0,1
"30","Pcra.mito.35","Hap_1",0,0,0,0,0,1,0,0,0,0,1
"31","Pcra.mito.36","Hap_1",0,0,0,0,0,1,0,0,0,0,1
"32","Pcra.mito.37","Hap_5",0,0,0,0,1,0,0,0,0,0,1
"33","Pcra.mito.38","Hap_9",0,0,1,0,0,0,0,0,0,0,1
"34","Pcra.mito.39","Hap_2",0,0,0,0,0,1,0,0,0,0,1
"35","Pcra.mito.13","Hap_9",0,0,2,0,0,0,0,0,0,0,2
"36","Pcra.mito.40","Hap_30",0,0,1,0,0,0,0,0,0,0,1
"37","Pcra.mito.41","Hap_30",0,0,1,0,0,0,0,0,0,0,1
"38","Pcra.mito.07","Hap_26",0,0,4,0,0,0,0,0,0,0,4
"39","Pcra.mito.42","Hap_31",0,0,0,0,0,0,1,0,0,0,1
"40","Pcra.mito.43","Hap_1",0,0,0,0,0,0,1,0,0,0,1
"41","Pcra.mito.44","Hap_33",0,0,1,0,0,0,0,0,0,0,1
"42","Pcra.mito.64","Hap_45",0,1,0,0,0,0,0,0,0,0,1
"43","Pcra.mito.65","Hap_45",0,1,0,0,0,0,0,0,0,0,1
"44","Pcra.mito.45","Hap_44",0,0,0,0,0,0,0,1,0,0,1
"45","Pcra.mito.69","Hap_41",0,3,0,0,0,0,0,0,0,0,3
"46","Pcra.mito.08","Hap_17",0,2,0,0,0,0,0,0,0,0,2
"47","Pcra.mito.46","Hap_50",1,0,0,0,0,0,0,0,0,0,1
"48","Pcra.mito.14","Hap_24",2,0,0,0,0,0,0,0,0,0,2
"49","Pcra.mito.15","Hap_43",2,0,0,0,0,0,0,0,0,0,2
"50","Pcra.mito.59","Hap_50",1,0,0,0,0,0,0,0,0,0,1
"51","Pcra.mito.47","Hap_9",0,0,1,0,0,0,0,0,0,0,1
"52","Pcra.mito.16","Hap_34",0,0,0,0,0,0,0,0,0,2,2
"53","Pcra.mito.48","Hap_7",0,0,0,0,0,0,0,0,0,1,1
"54","Pcra.mito.49","Hap_34",0,0,0,0,0,0,0,0,0,1,1
"55","Pcra.mito.17","Hap_45",0,0,0,0,2,0,0,0,0,0,2
"56","Pcra.mito.50","Hap_45",0,0,0,0,1,0,0,0,0,0,1
"57","Pcra.mito.51","Hap_53",0,0,0,0,1,0,0,0,0,0,1
"58","Pcra.mito.61","Hap_32",0,0,1,0,0,0,0,0,0,0,1
"59","Pcra.mito.18","Hap_32",0,0,1,0,0,0,0,1,0,0,2
"60","Pcra.mito.52","Hap_26",0,0,0,0,0,0,0,1,0,0,1
"61","Pcra.mito.53","Hap_35",0,0,0,1,0,0,0,0,0,0,1
"62","Pcra.mito.54","Hap_36",0,0,0,1,0,0,0,0,0,0,1
"63","Pcra.mito.55","Hap_52",1,0,0,0,0,0,0,0,0,0,1
"64","Pcra.mito.56","Hap_55",0,0,1,0,0,0,0,0,0,0,1
"65","Pcra.mito.57","Hap_30",0,0,1,0,0,0,0,0,0,0,1
"66","Pcra.mito.68","Hap_37",0,0,1,0,0,0,0,0,0,0,1
"67","Pcra.mito.70","Hap_39",0,0,1,0,0,0,0,0,0,0,1
"68","Pcra.mito.58","Hap_38",0,0,1,0,0,0,0,0,0,0,1
"69","Pcra.mito.19","Hap_23",4,0,0,0,0,0,0,0,0,0,4
