"","strata.1","strata.2","label","n.1","n.2","CHIsq","CHIsq_p.val","Fst","Fst_p.val","PHIst","PHIst_p.val","dA","mean"
"1","Atl-North","Atl-South","Atl-North (12) v. Atl-South (7)",12,7,19,0.004,0.152441445017864,0.0041,0.748142412524469,5e-04,0.00206635647763586,0.00286817695293883
"2","Atl-North","CNP","Atl-North (12) v. CNP (29)",12,29,41,2e-04,0.0757368805715538,1e-04,0.847526061535469,1e-04,0.00205995248367206,0.00304892857095754
"3","Atl-North","Epac","Atl-North (12) v. Epac (18)",12,18,30,5e-04,0.115907714332911,6e-04,0.841122869733935,1e-04,0.00218663578516802,0.0030395622162355
"4","Atl-North","Indian_Ocean","Atl-North (12) v. Indian_Ocean (8)",12,8,20,0.0082,0.0809602488094085,0.0214,0.751525614259627,9e-04,0.0019726196351076,0.002810710551146
"5","Atl-North","MHI","Atl-North (12) v. MHI (43)",12,43,55,1e-04,0.291637945672576,1e-04,0.892004175613273,1e-04,0.00204585225341501,0.00281349779382164
"6","Atl-North","NWHI","Atl-North (12) v. NWHI (13)",12,13,25,1e-04,0.419630279782416,1e-04,0.791375117992668,1e-04,0.00208617972440097,0.00274306708821515
"7","Atl-North","Spac","Atl-North (12) v. Spac (8)",12,8,20,0.0048,0.114630613230323,0.0086,0.755968291365358,1e-04,0.00196834747452628,0.00296177582823034
"8","Atl-North","Unknown","Atl-North (12) v. Unknown (2)",12,2,14,0.1328,0.0900473933649293,0.249,0.645695669622064,0.0652,0.00185556285630463,0.00281582259658443
"9","Atl-North","Wpac","Atl-North (12) v. Wpac (8)",12,8,20,0.0065,0.0978492540205389,0.017,0.763450369180178,2e-04,0.00202036862645826,0.00293331985055614
"10","Atl-South","CNP","Atl-South (7) v. CNP (29)",7,29,36,0.0043,0.100995268396149,0.0014,0.2627345331276,0.0082,0.000287516641671082,0.000774013945013535
"11","Atl-South","Epac","Atl-South (7) v. Epac (18)",7,18,25,0.0023,0.144951693557523,0.0026,0.66050996139471,1e-04,0.000443517528889994,0.000793965176014455
"12","Atl-South","Indian_Ocean","Atl-South (7) v. Indian_Ocean (8)",7,8,15,0.0453,0.111111111111111,0.01,0.45507212905538,0.0037,0.000217905646774889,0.000553517778870267
"13","Atl-South","MHI","Atl-South (7) v. MHI (43)",7,43,50,1e-04,0.331136811906043,1e-04,0.67225097882821,1e-04,0.000357567021148882,0.000622733777612488
"14","Atl-South","NWHI","Atl-South (7) v. NWHI (13)",7,13,20,2e-04,0.49961854586806,2e-04,0.818059048659191,1e-04,0.000422634484242583,0.000577043064113733
"15","Atl-South","Spac","Atl-South (7) v. Spac (8)",7,8,15,0.0217,0.147653305926687,0.0078,0.0638008716594241,0.2833,3.9632607579916e-05,0.000530582177340953
"16","Atl-South","Unknown","Atl-South (7) v. Unknown (2)",7,2,9,0.1913,0.138138138138138,0.2767,0.407325608677985,0.0833,0.000149659523155948,0.000607440479492725
"17","Atl-South","Wpac","Atl-South (7) v. Wpac (8)",7,8,15,0.0243,0.129363449691992,0.0069,0.456028812474698,4e-04,0.000266356968783469,0.000676829408938331
"18","CNP","Epac","CNP (29) v. Epac (18)",29,18,47,1e-04,0.0726293187471722,1e-04,0.096347787662401,0.0297,7.8208447525731e-05,0.000615811706632706
"19","CNP","Indian_Ocean","CNP (29) v. Indian_Ocean (8)",29,8,37,0.0058,0.036398740051783,0.0405,0.085932135096234,0.0917,0.000140623374250048,0.000663391118327939
"20","CNP","MHI","CNP (29) v. MHI (43)",29,43,72,1e-04,0.229447054691125,1e-04,0.456666754175477,1e-04,0.00033240482633612,0.000784727194782239
"21","CNP","NWHI","CNP (29) v. NWHI (13)",29,13,42,1e-04,0.318561899193371,1e-04,0.358263996257701,1e-04,0.000398692187176384,0.000740256379030048
"22","CNP","Spac","CNP (29) v. Spac (8)",29,8,34.0495689655173,0.0059,0.0636086895491183,0.0049,0.217631250987065,0.0114,0.000168557082613697,0.000846662264357248
"23","CNP","Unknown","CNP (29) v. Unknown (2)",29,2,31,0.0264,0.0275980402290533,0.3243,-0.104978488141786,0.6466,4.57911908740789e-05,0.00069072775919337
"24","CNP","Wpac","CNP (29) v. Wpac (8)",29,8,37,0.0018,0.0521263966186463,0.0078,0.0155918207561264,0.2708,4.08065010157026e-05,0.000638434553153078
"25","Epac","Indian_Ocean","Epac (18) v. Indian_Ocean (8)",18,8,26,0.0015,0.0771410656265016,0.0198,0.48180973327866,1e-04,0.000242407347755868,0.000629125435615767
"26","Epac","MHI","Epac (18) v. MHI (43)",18,43,61,1e-04,0.27708173521521,1e-04,0.721533784417351,1e-04,0.000441678756626938,0.000757951468855065
"27","Epac","NWHI","Epac (18) v. NWHI (13)",18,13,31,1e-04,0.384393910347996,1e-04,0.739255497941453,1e-04,0.000508053936708639,0.000713568472344311
"28","Epac","Spac","Epac (18) v. Spac (8)",18,8,26,0.0015,0.109345215593858,0.0049,0.552090945900594,1e-04,0.000356141623035985,0.000898197148561543
"29","Epac","Unknown","Epac (18) v. Unknown (2)",18,2,20,0.006,0.0835674157303374,0.2725,0.385733715801756,0.033,0.000138198338764375,0.000647085250865673
"30","Epac","Wpac","Epac (18) v. Wpac (8)",18,8,19.2936507936508,0.0655,0.0251814210883526,0.2032,0.264484458434481,0.0032,0.000101616261526209,0.000563194657445593
"31","Indian_Ocean","MHI","Indian_Ocean (8) v. MHI (43)",8,43,51,2e-04,0.267808552454529,7e-04,0.457192097536805,3e-04,0.000186370654162148,0.000487807851361191
"32","Indian_Ocean","NWHI","Indian_Ocean (8) v. NWHI (13)",8,13,21,1e-04,0.41702814274638,1e-04,0.66753321329688,1e-04,0.00025309661256042,0.000443775633167008
"33","Indian_Ocean","Spac","Indian_Ocean (8) v. Spac (8)",8,8,16,0.0975,0.0714285714285714,0.0975,0.185402981612411,0.027,0.000143078517310679,0.000670298527807154
"34","Indian_Ocean","Unknown","Indian_Ocean (8) v. Unknown (2)",8,2,10,0.635,0.0255402750491161,0.635,-0.0913770596071201,0.5121,-5.50397665237106e-05,0.000439011630548504
"35","Indian_Ocean","Wpac","Indian_Ocean (8) v. Wpac (8)",8,8,16,0.1041,0.0535714285714286,0.1041,0.141143382160235,0.0764,6.16413009611539e-05,0.000508384181851454
"36","MHI","NWHI","MHI (43) v. NWHI (13)",43,13,12.6360779384035,0.1192,0.0596288237628075,0.0818,0.0755447135529865,0.1298,2.49796059261417e-05,0.000145213250900958
"37","MHI","Spac","MHI (43) v. Spac (8)",43,8,51,1e-04,0.29656404656471,3e-04,0.604277196825229,1e-04,0.000316765262563165,0.000773539897427867
"38","MHI","Unknown","MHI (43) v. Unknown (2)",43,2,45,0.0154,0.329929022902776,0.0523,0.489778646407372,0.035,0.000119564120718355,0.000543170142158798
"39","MHI","Wpac","MHI (43) v. Wpac (8)",43,8,51,1e-04,0.282360622733247,2e-04,0.63860185648528,1e-04,0.000308333138035762,0.00068463064329429
"40","NWHI","Spac","NWHI (13) v. Spac (8)",13,8,21,1e-04,0.449855542391553,3e-04,0.548228039413494,1e-04,0.000383090727227114,0.000729107185499361
"41","NWHI","Unknown","NWHI (13) v. Unknown (2)",13,2,15,0.0555,0.595143837424123,0.0555,0.842729488135368,0.01,0.000184856223028848,0.000497704067876836
"42","NWHI","Wpac","NWHI (13) v. Wpac (8)",13,8,21,1e-04,0.43350864012021,2e-04,0.693255688536207,1e-04,0.000378621935114595,0.000644161263780668
"43","Spac","Unknown","Spac (8) v. Unknown (2)",8,2,10,0.4701,0.0775347912524852,0.5352,-0.0133262854025196,0.3782,6.71123125650646e-05,0.000716501147302939
"44","Spac","Wpac","Spac (8) v. Wpac (8)",8,8,16,0.0485,0.0892857142857143,0.0485,0.287379004696264,1e-04,0.000181928228165857,0.000784008546721816
"45","Unknown","Wpac","Unknown (2) v. Wpac (8)",2,8,10,0.3786,0.0513833992094861,0.3786,-0.0192604826888791,0.4276,-6.60727044334984e-06,0.00056230443468835
