node,posterior,divergence_time_years,lower_95_HPD,upper_95_HPD
67,1,"380,596","239,107","548,665"
68,1,"120,393","58,064","194,218"
69,0.468,"105,243","54,641","180,546"
70,1,"72,689","31,720","121,495"
71,0.519,"62,808","29,536","113,972"
72,0.08,"53,182","23,972","106,526"
73,0.077,"47,598","23,965","105,797"
74,1,"21,365","7,393","39,324"
75,0.284,"16,468","6,887","36,831"
76,0.126,"14,094","6,353","35,361"
77,0.204,"11,343","4,368","33,327"
78,0.999,"9,551",658,"19,210"
79,0.204,"38,853","15,496","98,407"
80,1,"23,755","6,794","46,807"
81,0.999,"12,885","2,434","25,067"
82,0.999,"17,603","3,517","37,755"
83,0.091,"56,156","25,101","109,354"
84,1,"11,585",621,"22,965"
85,1,"13,403",683,"26,910"
86,0.131,"97,357","50,587","173,615"
87,1,"76,378","34,032","123,763"
88,1,"53,071","22,493","89,223"
89,1,"25,405","9,932","45,307"
90,0.999,"17,590","6,544","30,720"
91,0.106,"15,530","6,544","30,450"
92,0.068,"12,674","5,805","28,970"
93,0.157,"10,276","3,823","27,641"
94,0.119,"11,868","5,365","28,071"
95,0.711,"16,595","5,599","36,559"
96,0.359,"12,178","3,329","34,153"
97,0.379,"46,745","20,170","86,221"
98,1,"20,411","7,357","37,875"
99,0.119,"13,779","5,563","33,742"
100,0.163,"12,200","4,491","32,365"
101,0.12,"13,935","6,356","35,572"
102,0.949,"31,644","10,239","60,485"
103,0.951,"18,948","6,592","35,859"
104,0.325,"14,527","5,715","32,813"
105,0.286,"11,199","3,216","30,453"
106,0.563,"64,288","29,539","117,553"
107,1,"31,391","10,129","58,165"
108,0.649,"19,419","6,225","45,826"
109,0.447,"13,032","1,907","38,625"
110,1,"11,769","1,455","23,085"
111,0.183,"88,305","46,261","167,590"
112,0.68,"80,539","38,271","153,930"
113,0.21,"76,200","36,892","147,969"
114,1,"15,848","5,339","29,826"
115,0.339,"11,991","4,068","27,960"
116,1,"34,564","11,130","65,022"
117,0.881,"20,751","7,152","41,570"
118,0.213,"16,779","6,303","38,702"
119,0.182,"11,041","2,920","35,534"
120,0.16,"12,282","4,664","34,204"
121,1,"20,726","5,677","40,556"
122,0.998,"11,952","1,889","22,728"
123,1,"46,997","14,965","86,023"
124,1,"25,498","6,818","49,907"
125,1,"9,227",254,"19,310"
126,0.816,"22,627","6,060","59,816"
127,0.494,"13,929","1,816","45,676"
128,1,"75,895","28,077","130,336"
129,1,"12,770",553,"25,792"
130,1,"19,287","5,932","37,942"
131,0.388,"13,490","4,250","33,983"
