,Atl-North,Atl-South,CNP,Epac,Indian_Ocean,MHI,NWHI,Spac,Unknown,Wpac,Overall
Pcra.mito.01,0,0,0,0,0,26,11,0,0,0,37
Pcra.mito.02,0,0,0,0,0,8,0,0,0,0,8
Pcra.mito.03,0,0,0,5,0,0,0,0,0,2,7
Pcra.mito.04,0,0,0,0,0,5,0,0,0,0,5
Pcra.mito.05,0,0,0,4,0,0,0,0,0,0,4
Pcra.mito.06,0,0,4,0,0,0,0,0,0,0,4
Pcra.mito.07,0,0,4,0,0,0,0,0,0,0,4
Pcra.mito.08,0,2,0,0,0,0,0,0,0,0,2
Pcra.mito.09,0,0,0,0,0,0,0,3,0,0,3
Pcra.mito.10,1,0,0,0,0,0,0,0,0,0,1
Pcra.mito.11,0,0,2,0,0,0,0,0,0,0,2
Pcra.mito.12,0,0,2,0,0,0,0,0,0,0,2
Pcra.mito.13,0,0,2,0,0,0,0,0,0,0,2
Pcra.mito.14,2,0,0,0,0,0,0,0,0,0,2
Pcra.mito.15,2,0,0,0,0,0,0,0,0,0,2
Pcra.mito.16,0,0,0,0,0,0,0,0,0,2,2
Pcra.mito.17,0,0,0,0,2,0,0,0,0,0,2
Pcra.mito.18,0,0,1,0,0,0,0,1,0,0,2
Pcra.mito.19,4,0,0,0,0,0,0,0,0,0,4
Pcra.mito.20,0,0,0,0,0,0,0,0,1,0,1
Pcra.mito.21,0,0,0,0,1,0,0,0,0,0,1
Pcra.mito.22,0,0,0,0,0,0,0,0,1,0,1
Pcra.mito.23,0,0,0,0,1,0,0,0,0,0,1
Pcra.mito.24,0,0,0,0,0,0,0,0,1,0,1
Pcra.mito.25,0,0,0,1,0,0,0,0,0,0,1
Pcra.mito.26,0,0,0,1,0,0,0,0,0,0,1
Pcra.mito.27,0,0,0,1,0,0,0,0,0,0,1
Pcra.mito.28,0,0,0,1,0,0,0,0,0,0,1
Pcra.mito.29,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.30,0,0,0,0,0,1,0,0,0,0,1
Pcra.mito.31,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.32,0,0,0,2,0,0,0,0,0,0,2
Pcra.mito.33,0,0,0,0,0,0,0,1,0,0,1
Pcra.mito.34,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.35,0,0,0,0,0,1,0,0,0,0,1
Pcra.mito.36,0,0,0,0,0,1,0,0,0,0,1
Pcra.mito.37,0,0,0,0,1,0,0,0,0,0,1
Pcra.mito.38,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.39,0,0,0,0,0,1,0,0,0,0,1
Pcra.mito.40,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.41,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.42,0,0,0,0,0,0,1,0,0,0,1
Pcra.mito.43,0,0,0,0,0,0,1,0,0,0,1
Pcra.mito.44,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.45,0,0,0,0,0,0,0,1,0,0,1
Pcra.mito.46,1,0,0,0,0,0,0,0,0,0,1
Pcra.mito.47,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.48,0,0,0,0,0,0,0,0,0,1,1
Pcra.mito.49,0,0,0,0,0,0,0,0,0,1,1
Pcra.mito.50,0,0,0,0,1,0,0,0,0,0,1
Pcra.mito.51,0,0,0,0,1,0,0,0,0,0,1
Pcra.mito.52,0,0,0,0,0,0,0,1,0,0,1
Pcra.mito.53,0,0,0,1,0,0,0,0,0,0,1
Pcra.mito.54,0,0,0,1,0,0,0,0,0,0,1
Pcra.mito.55,1,0,0,0,0,0,0,0,0,0,1
Pcra.mito.56,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.57,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.58,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.59,1,0,0,0,0,0,0,0,0,0,1
Pcra.mito.60,0,0,0,1,0,0,0,0,0,0,1
Pcra.mito.61,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.63,0,0,0,0,1,0,0,0,0,0,1
Pcra.mito.64,0,1,0,0,0,0,0,0,0,0,1
Pcra.mito.65,0,1,0,0,0,0,0,0,0,0,1
Pcra.mito.66,0,0,0,0,0,0,0,1,0,0,1
Pcra.mito.67,0,0,0,0,0,0,0,0,1,0,1
Pcra.mito.68,0,0,1,0,0,0,0,0,0,0,1
Pcra.mito.69,0,3,0,0,0,0,0,0,0,0,3
Pcra.mito.70,0,0,1,0,0,0,0,0,0,0,1
