"","Animal.ID","Location","Fine","Broad","Ocean_Basin","mito.Broad","NAtl_vs_Other","Latitude","Longitude","CR.hap","mito.hap","analysis_set"
"1","Pcra004","SEFSC-biopsy","Atl-weird","N_Atlantic","North Atlantic","Atl-North","Atl-North",NA,NA,24,NA,"CR"
"2","Pcra006","SEFSC-bycatch","Atl-weird","N_Atlantic","North Atlantic","Atl-North","Atl-North",NA,NA,51,NA,"CR"
"3","Pcra011","SEFSC-biopsy","Atl-normal","N_Atlantic","North Atlantic","Atl-North","Atl-North",NA,NA,50,NA,"CR"
"4","Pcra014","SEFSC-Massstranding","Atl-weird","N_Atlantic","North Atlantic","Atl-North","Atl-North",NA,NA,23,NA,"CR"
"5","Pcra020","SEFSC-Massstranding","Atl-weird","N_Atlantic","North Atlantic","Atl-North","Atl-North",NA,NA,23,NA,"CR"
"6","Pcra021","SEFSC-Massstranding","Atl-weird","N_Atlantic","North Atlantic","Atl-North","Atl-North",NA,NA,23,NA,"CR"
"7","z0007449","Florida","Florida-weird","N_Atlantic","North Atlantic","Atl-North","Atl-North",25.766666,-80.183333,24,NA,"CR"
"8","z0007605","Crossing to HI","CNP-NW","NPac_Central","North Pacific","CNP","Other",25.566666,223.966667,16,NA,"CR"
"9","z0011647","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.45,259.716667,9,NA,"CR"
"10","z0011651","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.45,259.716667,9,NA,"CR"
"11","z0016136","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"12","z0016138","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"13","z0016139","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"14","z0016140","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"15","z0016141","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"16","z0016142","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"17","z0016144","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"18","z0016145","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"19","z0016146","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"20","z0016147","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",7.583333,281.666667,10,NA,"CR"
"21","z0018299","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",6.45,278.266667,12,NA,"CR"
"22","z0018300","Pan","ETP","NPac_Eastern","North Pacific","Epac","Other",6.45,278.266667,12,NA,"CR"
"23","z0018447","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.516666,259.366667,9,NA,"CR"
"24","z0018448","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.516666,259.366667,10,NA,"CR"
"25","z0018455","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.516666,259.366667,9,NA,"CR"
"26","z0018457","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.516666,259.366667,9,NA,"CR"
"27","z0018459","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.516666,259.316667,9,NA,"CR"
"28","z0018463","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.516666,259.316667,9,NA,"CR"
"29","z0018464","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.516666,259.316667,9,NA,"CR"
"30","z0018465","Mex","ETP","NPac_Eastern","North Pacific","Epac","Other",16.516666,259.316667,9,NA,"CR"
