Name,,Minimum,Maximum,Length,
ND1 CDS,ND1 CDS_pos1,2783,3737,957,319
ND1 CDS,ND1 CDS_pos2,,3738,,
ND1 CDS,ND1 CDS_pos3,,3739,,
ND2 CDS,ND2 CDS_pos1,3953,4994,1042,347.3333333
ND2 CDS,ND2 CDS_pos2,,4992,,
ND2 CDS,ND2 CDS_pos3,,4993,,
COX1 CDS,COX1 CDS_pos1,5383,6931,1551,517
COX1 CDS,COX1 CDS_pos2,,6932,,
COX1 CDS,COX1 CDS_pos3,,6933,,
COX2 CDS,COX2 CDS_pos1,7073,7754,684,228
COX2 CDS,COX2 CDS_pos2,,7755,,
COX2 CDS,COX2 CDS_pos3,,7756,,
ATP8 CDS,ATP8 CDS_pos1,7829,7988,161,53.66666667
ATP8 CDS,ATP8 CDS_pos2,,7989,,
ATP8 CDS,ATP8 CDS_pos3,,7987,,
ATP6 CDS,ATP6 CDS_pos1,7990,8668,680,226.6666667
ATP6 CDS,ATP6 CDS_pos2,,8669,,
ATP6 CDS,ATP6 CDS_pos3,,8667,,
COX3 CDS,COX3 CDS_pos1,8670,9453,785,261.6666667
COX3 CDS,COX3 CDS_pos2,,9454,,
COX3 CDS,COX3 CDS_pos3,,9452,,
ND3 CDS,ND3 CDS_pos1,9525,9870,346,115.3333333
ND3 CDS,ND3 CDS_pos2,,9868,,
ND3 CDS,ND3 CDS_pos3,,9869,,
ND4L CDS,ND4L CDS_pos1,9942,10230,290,96.66666667
ND4L CDS,ND4L CDS_pos2,,10231,,
ND4L CDS,ND4L CDS_pos3,,10229,,
ND4 CDS,ND4 CDS_pos1,10232,11609,1378,459.3333333
ND4 CDS,ND4 CDS_pos2,,11607,,
ND4 CDS,ND4 CDS_pos3,,11608,,
ND5 CDS,ND5 CDS_pos1,11814,13632,1821,607
ND5 CDS,ND5 CDS_pos2,,13633,,
ND5 CDS,ND5 CDS_pos3,,13634,,
ND6 CDS,ND6 CDS_pos1,13635,14145,511,170.3333333
ND6 CDS,ND6 CDS_pos2,,14143,,
ND6 CDS,ND6 CDS_pos3,,14144,,
CYTB CDS,CYTB CDS_pos1,14219,15356,1140,380
CYTB CDS,CYTB CDS_pos2,,15357,,
CYTB CDS,CYTB CDS_pos3,,15358,,
12S rRNA,,74,1050,974,
16S rRNA,,1118,2706,1578,
D-loop,,15496,16425,918,
tRNA-Phe,,1,73,72,
tRNA-Val,,1051,1117,67,
tRNA-Leu,,2707,2782,76,
tRNA-Ile,,3744,3809,69,
tRNA-Gln,,3810,3882,73,
tRNA-Met,,3884,3952,69,
tRNA-Trp,,4995,5063,69,
tRNA-Ala,,5071,5139,69,
tRNA-Asn,,5141,5214,75,
tRNA-Cys,,5247,5313,67,
tRNA-Tyr,,5314,5381,66,
tRNA-Ser,,6934,6997,69,
tRNA-Asp,,7005,7072,68,
tRNA-Lys,,7760,7827,68,
tRNA-Gly,,9455,9524,69,
tRNA-Arg,,9872,9941,70,
tRNA-His,,11610,11680,70,
tRNA-Ser,,11681,11742,62,
tRNA-Leu,,11744,11813,70,
tRNA-Glu,,14146,14214,69,
tRNA-Thr,,15359,15429,70,
tRNA-Pro,,15430,15495,66,
