Name,Type,Start,Stop
12S rRNA,rRNA,73,1046
16S rRNA,rRNA,1114,2692
ND1 CDS,CDS,2769,3725
ND2 CDS,CDS,3939,4982
COX1 CDS,CDS,5365,6915
COX2 CDS,CDS,7055,7738
ATP8 CDS,CDS,7811,8002
ATP6 CDS,CDS,7972,8652
COX3 CDS,CDS,8652,9437
ND3 CDS,CDS,9506,9862
ND4L CDS,CDS,9923,10219
ND4 CDS,CDS,10213,11637
ND5 CDS,CDS,11793,13613
ND6 CDS,CDS,13597,14124
CYTB CDS,CDS,14198,15337
D-loop,D-loop,15476,16379
